Split	SentIdx	StartPos	EndPos	Inner	Sentence	NEType	SourcePhrase	TargetNE	C	D	c	m	f	X	FL	TBD	AnnotationIssues	Comments
Test	5	26	26	0	“ Lehmbruck - Beuys .Zeichnungen “ lautet der Titel der gerade eröffneten Ausstellung , die Kuratorin Dr . Marion Bornscheuer bis zum 11. Januar im Lehmbruck-Museum präsentiert .	Organisation	Lehmbruck-Museum	Lehmbruck Museum	0	0	0	0	0	0	0	0		correct spelling "Lehmbruck Museum"
Test	6	13	13	0	Der Videohoster und die Vertreter der Autoren schieben sich gegenseitig den schwarzen Peter zu .	Person	Peter	Peter	0	0	0	0	0	0	0	0		
Test	8	4	5	0	Zuletzt war es Wolfram Graf-Rudolf , Chef des Zoos in Aachen .	Person	Wolfram Graf-Rudolf	Wolfram Graf-Rudolf	0	0	0	0	0	0	0	1		[TBD]
Test	8	11	11	0	Zuletzt war es Wolfram Graf-Rudolf , Chef des Zoos in Aachen .	Location	Aachen	Aachen	0	0	0	0	0	0	0	0		L
Test	10	4	4	0	Politisch interessiert ging Antommarchi nach Polen und übernahm dort 1830 während des Novemberaufstandes in Warschau die Leitung der ärztlichen Anstalten ; kehrte jedoch bald nach Paris zurück .	Person	Antommarchi	Antommarchi	0	0	0	0	0	0	0	1		[TBD]
Test	10	6	6	0	Politisch interessiert ging Antommarchi nach Polen und übernahm dort 1830 während des Novemberaufstandes in Warschau die Leitung der ärztlichen Anstalten ; kehrte jedoch bald nach Paris zurück .	Location	Polen	Polen	0	0	0	0	0	0	0	0		L
Test	10	15	15	0	Politisch interessiert ging Antommarchi nach Polen und übernahm dort 1830 während des Novemberaufstandes in Warschau die Leitung der ärztlichen Anstalten ; kehrte jedoch bald nach Paris zurück .	Location	Warschau	Warschau	0	0	0	0	0	0	0	0		L
Test	10	26	26	0	Politisch interessiert ging Antommarchi nach Polen und übernahm dort 1830 während des Novemberaufstandes in Warschau die Leitung der ärztlichen Anstalten ; kehrte jedoch bald nach Paris zurück .	Location	Paris	Paris	0	0	0	0	0	0	0	0		L
Test	11	6	7	0	Am 20. Januar 1839 gelang Manuel Bulnes bei der Belagerung von Yungay der entscheidende Sieg .	Person	Manuel Bulnes	Manuel Bulnes	0	0	0	0	0	0	0	1		[TBD]
Test	11	12	12	0	Am 20. Januar 1839 gelang Manuel Bulnes bei der Belagerung von Yungay der entscheidende Sieg .	Location	Yungay	Yungay	0	0	0	0	0	0	0	0		L
Test	14	1	1	0	DEG-Torhüter Jamie Storr ( Mitte ) kann den Schuss zum 1:0 nicht parieren .	Organisation-part	DEG-Torhüter	DEG	1	0	0	0	0	0	0	0		
Test	14	2	3	0	DEG-Torhüter Jamie Storr ( Mitte ) kann den Schuss zum 1:0 nicht parieren .	Person	Jamie Storr	Jamie Storr	0	0	0	0	0	0	0	0		L
Test	16	5	5	0	Die monatelange Führungskrise beim europäischen Luft-und Raumfahrtkonzern EADS ist beigelegt .	Location-derived	europäischen	Europa	0	1	1	1	1	0	0	0		
Test	16	8	8	0	Die monatelange Führungskrise beim europäischen Luft-und Raumfahrtkonzern EADS ist beigelegt .	Organisation	EADS	EADS	0	0	0	0	0	0	0	1		[TBD]
Test	18	28	30	0	Heute ist durch einen roten Ziegelstreifen der Verlauf des an den Turm anschließenden nordwestlichen Mauerrings gekennzeichnet , während der südwestliche Mauerring bis zum Gelände des ehemaligen Franziskanerklosters St . Johannis noch intakt ist .	Location	St . Johannis	St . Johannis	0	0	0	0	0	0	0	0	2	L  correct type "Person" 
Test	18	30	30	1	Heute ist durch einen roten Ziegelstreifen der Verlauf des an den Turm anschließenden nordwestlichen Mauerrings gekennzeichnet , während der südwestliche Mauerring bis zum Gelände des ehemaligen Franziskanerklosters St . Johannis noch intakt ist .	Person	Johannis	Johannis	0	0	0	0	0	0	0	0		L
Test	20	3	4	0	Mit Herzog Przemysław II. von Großpolen schloss Mestwin am 15. Februar 1282 im Vertrag von Kempen eine „ donatio inter vivos “ ( Geschenk unter Lebenden ) und vermachte ihm sein Herzogtum .	Person	Przemysław II.	Przemysław II.	0	0	0	0	0	0	0	0		L
Test	20	6	6	0	Mit Herzog Przemysław II. von Großpolen schloss Mestwin am 15. Februar 1282 im Vertrag von Kempen eine „ donatio inter vivos “ ( Geschenk unter Lebenden ) und vermachte ihm sein Herzogtum .	Location	Großpolen	Großpolen	0	0	0	0	0	0	0	0		
Test	20	8	8	0	Mit Herzog Przemysław II. von Großpolen schloss Mestwin am 15. Februar 1282 im Vertrag von Kempen eine „ donatio inter vivos “ ( Geschenk unter Lebenden ) und vermachte ihm sein Herzogtum .	Person	Mestwin	Mestwin	0	0	0	0	0	0	0	0		
Test	20	16	16	0	Mit Herzog Przemysław II. von Großpolen schloss Mestwin am 15. Februar 1282 im Vertrag von Kempen eine „ donatio inter vivos “ ( Geschenk unter Lebenden ) und vermachte ihm sein Herzogtum .	Location	Kempen	Kempen	0	0	0	0	0	0	0	1		[TBD]
Test	22	2	2	1	Die London Telegram vom 21. Januar 1914 berichtete , dass Karl Richter wegen des Diebstahls der belastenden Papiere und der versuchten Erpressung seines Arbeitgebers , in Deutschland zu 2 Jahren Gefängnis verurteilt wurde .	Location	London	London	0	0	0	0	0	0	0	1		[TBD]
Test	22	2	3	0	Die London Telegram vom 21. Januar 1914 berichtete , dass Karl Richter wegen des Diebstahls der belastenden Papiere und der versuchten Erpressung seines Arbeitgebers , in Deutschland zu 2 Jahren Gefängnis verurteilt wurde .	Organisation	London Telegram	London Telegram	0	0	0	0	0	0	0	1		[TBD]
Test	22	11	12	0	Die London Telegram vom 21. Januar 1914 berichtete , dass Karl Richter wegen des Diebstahls der belastenden Papiere und der versuchten Erpressung seines Arbeitgebers , in Deutschland zu 2 Jahren Gefängnis verurteilt wurde .	Person	Karl Richter	Karl Richter	0	0	0	0	0	0	0	0		
Test	22	27	27	0	Die London Telegram vom 21. Januar 1914 berichtete , dass Karl Richter wegen des Diebstahls der belastenden Papiere und der versuchten Erpressung seines Arbeitgebers , in Deutschland zu 2 Jahren Gefängnis verurteilt wurde .	Location	Deutschland	Deutschland	0	0	0	0	0	0	0	0		L
Test	25	5	6	0	Die ursprüngliche Apfeldiätspeise „ d Spys “ Das ursprüngliche Birchermues ist eine Schweizer Spezialität und wurde um 1900 Albert Wirz Doktor Birchers neue Weltordnung .	Other	d Spys	d Spys	0	0	0	0	0	0	0	0		L
Test	25	13	13	0	Die ursprüngliche Apfeldiätspeise „ d Spys “ Das ursprüngliche Birchermues ist eine Schweizer Spezialität und wurde um 1900 Albert Wirz Doktor Birchers neue Weltordnung .	Location-derived	Schweizer	Schweizer	0	0	0	0	0	0	0	1		[TBD]
Test	25	19	20	0	Die ursprüngliche Apfeldiätspeise „ d Spys “ Das ursprüngliche Birchermues ist eine Schweizer Spezialität und wurde um 1900 Albert Wirz Doktor Birchers neue Weltordnung .	Person	Albert Wirz	Albert Wirz	0	0	0	0	0	0	0	0		L
Test	25	22	22	0	Die ursprüngliche Apfeldiätspeise „ d Spys “ Das ursprüngliche Birchermues ist eine Schweizer Spezialität und wurde um 1900 Albert Wirz Doktor Birchers neue Weltordnung .	Person	Birchers	Bircher	0	0	0	0	1	0	0	0		
Test	27	2	4	1	Der S & P 500 kletterte daneben um 0,91 Prozent und schloss bei 927,23 Zählern .	Organisation	S & P	S & P	0	0	0	0	0	0	0	0		
Test	27	2	5	0	Der S & P 500 kletterte daneben um 0,91 Prozent und schloss bei 927,23 Zählern .	Other	S & P 500	S & P 500	0	0	0	0	0	0	0	1		[TBD]
Test	31	19	19	0	Im Blickpunkt des Interesses steht vor allem die anschließende Presseerklärung , von der sich Marktteilnehmer Hinweise auf die amerikanische Geldpolitik im kommenden Jahr erhoffen .	Location-derived	amerikanische	amerikanische	0	0	0	0	0	0	0	1		[TBD]
Test	32	4	4	0	Mit der Verpfändung Stolbergs an Wilhelm von Nesselrode war die Auflage verbunden , dass eine mögliche neue Burg als Offenhaus des Herzogs von Jülich zu errichten sei .	Location	Stolbergs	Stolberg	0	0	0	0	1	0	0	0		
Test	32	6	8	0	Mit der Verpfändung Stolbergs an Wilhelm von Nesselrode war die Auflage verbunden , dass eine mögliche neue Burg als Offenhaus des Herzogs von Jülich zu errichten sei .	Person	Wilhelm von Nesselrode	Wilhelm von Nesselrode	0	0	0	0	0	0	0	1		[TBD]
Test	32	23	24	0	Mit der Verpfändung Stolbergs an Wilhelm von Nesselrode war die Auflage verbunden , dass eine mögliche neue Burg als Offenhaus des Herzogs von Jülich zu errichten sei .	Person	von Jülich	von Jülich	0	0	0	0	0	0	0	0		L
Test	32	24	24	1	Mit der Verpfändung Stolbergs an Wilhelm von Nesselrode war die Auflage verbunden , dass eine mögliche neue Burg als Offenhaus des Herzogs von Jülich zu errichten sei .	Location	Jülich	Jülich	0	0	0	0	0	0	0	0		L
Test	33	14	14	1	Er zeichnete ein faires und interessantes Bild von der Auftrags- und Arbeitslage des Mitteldeutschen Verlages , der als ein Nachwuchsautoren-Haus besonders gefordert war .	Location	Mitteldeutschen	Mitteldeutschland	0	0	0	0	0	1	0	1	1;2	"Mitteldeutschen" is no inflected form of the location "Mitteldeutschland" even though semantically "mitteldeutsch" as adjective refers to the geographic area of "Mitteldeutschland" OR: wrong type, if type is "Other" the TNE is the language "Mitteldeutsch"
Test	33	14	15	0	Er zeichnete ein faires und interessantes Bild von der Auftrags- und Arbeitslage des Mitteldeutschen Verlages , der als ein Nachwuchsautoren-Haus besonders gefordert war .	Organisation	Mitteldeutschen Verlages	Mitteldeutscher Verlag	0	0	0	0	1	0	0	0		
Test	37	1	1	0	Doma ist immer noch sehr aufgewühlt , dass sie auf einen Gauner hereingefallen ist .	Person	Doma	Doma	0	0	0	0	0	0	0	0		
Test	38	9	9	0	Mit 922 m wird auf der Nordostabdachung des Belmont die höchste Erhebung von Bretonvillers erreicht .	Location	Belmont	Belmont	0	0	0	0	0	0	0	0		
Test	38	14	14	0	Mit 922 m wird auf der Nordostabdachung des Belmont die höchste Erhebung von Bretonvillers erreicht .	Location	Bretonvillers	Bretonvillers	0	0	0	0	0	0	0	0		
Test	39	8	8	0	Kameraarbeit Auch den Posten als Kameramann übernahm Tarantino selbst .	Person	Tarantino	Tarantino	0	0	0	0	0	0	0	1		[TBD]
Test	40	22	22	0	“ Wir sind vom Ideal eines gebührenfreien Bildungssystems von der Kinderkrippe bis zur Hochschule weiter entfernt denn je “ , so Hirsch .	Person	Hirsch	Hirsch	0	0	0	0	0	0	0	1		[TBD]
Test	41	1	2	1	Leopold Stocker Verlag , Graz , Stuttgart 1994 . ISBN 3-702-00682-6 * 1999 : Erinnerungen und Gedanken .	Person	Leopold Stocker	Leopold Stocker	0	0	0	0	0	0	0	0		
Test	41	1	3	0	Leopold Stocker Verlag , Graz , Stuttgart 1994 . ISBN 3-702-00682-6 * 1999 : Erinnerungen und Gedanken .	Organisation	Leopold Stocker Verlag	Leopold Stocker Verlag	0	0	0	0	0	0	0	1		[TBD]
Test	41	5	5	0	Leopold Stocker Verlag , Graz , Stuttgart 1994 . ISBN 3-702-00682-6 * 1999 : Erinnerungen und Gedanken .	Location	Graz	Graz	0	0	0	0	0	0	0	0		L
Test	41	7	7	0	Leopold Stocker Verlag , Graz , Stuttgart 1994 . ISBN 3-702-00682-6 * 1999 : Erinnerungen und Gedanken .	Location	Stuttgart	Stuttgart	0	0	0	0	0	0	0	0		L
Test	41	15	17	0	Leopold Stocker Verlag , Graz , Stuttgart 1994 . ISBN 3-702-00682-6 * 1999 : Erinnerungen und Gedanken .	Other	Erinnerungen und Gedanken	Erinnerungen und Gedanken	0	0	0	0	0	0	0	0		
Test	42	8	8	0	1951 fiel der Startschuss für die erste Berlinale .	Organisation	Berlinale	Berlinale	0	0	0	0	0	0	0	0		
Test	43	21	21	0	Sie ermuntert ihn , sich mehr auf sein Gefühl und sein Gewissen zu verlassen , ohne zu wissen , dass Dexter keines von beiden hat .	Person	Dexter	Dexter	0	0	0	0	0	0	0	1		[TBD]
Test	44	2	4	0	Der 1. FC Kaiserslautern empfängt heute im Montagspiel der 2. Fußball-Bundesliga den SC Freiburg .	Organisation	1. FC Kaiserslautern	1. FC Kaiserslautern	0	0	0	0	0	0	0	1		[TBD]
Test	44	4	4	1	Der 1. FC Kaiserslautern empfängt heute im Montagspiel der 2. Fußball-Bundesliga den SC Freiburg .	Location	Kaiserslautern	Kaiserslautern	0	0	0	0	0	0	0	1		[TBD]
Test	44	10	11	0	Der 1. FC Kaiserslautern empfängt heute im Montagspiel der 2. Fußball-Bundesliga den SC Freiburg .	Organisation	2. Fußball-Bundesliga	2. Fußball-Bundesliga	0	0	0	0	0	0	0	1		[TBD]
Test	44	13	14	0	Der 1. FC Kaiserslautern empfängt heute im Montagspiel der 2. Fußball-Bundesliga den SC Freiburg .	Organisation	SC Freiburg	SC Freiburg	0	0	0	0	0	0	0	1		[TBD]
Test	44	14	14	1	Der 1. FC Kaiserslautern empfängt heute im Montagspiel der 2. Fußball-Bundesliga den SC Freiburg .	Location	Freiburg	Freiburg	0	0	0	0	0	0	0	1		[TBD]
Test	45	19	19	0	Die Stadt richtete in den Gebäuden eine höhere Knabenschule ein , weshalb die Gebäude im Volksmund auch „ Bubenkloster “ genannt wurde ( nicht zu verwechseln mit der eigentlichen Klosterschule im Stiftsbezirk ) .	Other	Bubenkloster	Bubenkloster	0	0	0	0	0	1	0	1	4	L "Bubenkloster" is a common noun but no NE
Test	47	7	8	0	1297 wurde nach einem Brief im Diplomatarium Norvegicum für dieses Jahr der Erzbischof Jørund in Nidaros zum Jarl ernannt .	Other	Diplomatarium Norvegicum	Diplomatarium Norvegicum	0	0	0	0	0	0	0	0		L
Test	47	8	8	1	1297 wurde nach einem Brief im Diplomatarium Norvegicum für dieses Jahr der Erzbischof Jørund in Nidaros zum Jarl ernannt .	Location-derived	Norvegicum	Norwegen	0	1	0	0	0	0	1	0		
Test	47	14	14	0	1297 wurde nach einem Brief im Diplomatarium Norvegicum für dieses Jahr der Erzbischof Jørund in Nidaros zum Jarl ernannt .	Person	Jørund	Jørund	0	0	0	0	0	0	0	0		
Test	47	16	16	0	1297 wurde nach einem Brief im Diplomatarium Norvegicum für dieses Jahr der Erzbischof Jørund in Nidaros zum Jarl ernannt .	Location	Nidaros	Nidaros	0	0	0	0	0	0	0	1		[TBD]
Test	48	8	8	0	In manchen Gebieten , zum Beispiel in Dachau Süd , gibt es nur wenig Möglichkeiten Waren für den alltäglichen Gebrauch zu erwerben .	Location	Dachau	Dachau	0	0	0	0	0	0	0	0		
Test	49	7	7	0	Bei den Privaten Krankenversicherern ist die DKV einer der Vorreiter solcher Zusatzangebote .	Organisation	DKV	DKV	0	0	0	0	0	0	0	0		
Test	50	8	8	0	Nach dem Abitur besuchte sie die Musicalschule Vitztum-Durukan in Hannover und ließ sich in den Fächern Schauspiel , Tanz und Gesang ausbilden , außerdem nahm sie privaten Gesangsunterricht .	Organisation	Vitztum-Durukan	Vitztum-Durukan	0	0	0	0	0	0	0	0	3	L correct spelling of NE "Vitzthum-Durukan"
Test	50	10	10	0	Nach dem Abitur besuchte sie die Musicalschule Vitztum-Durukan in Hannover und ließ sich in den Fächern Schauspiel , Tanz und Gesang ausbilden , außerdem nahm sie privaten Gesangsunterricht .	Location	Hannover	Hannover	0	0	0	0	0	0	0	0		L
Test	51	18	18	0	Nach Ansicht von Kritikern lässt sich in diesen Forderungen die Befürwortung einer erneuten Angliederung des heute zum tschechischen Staat gehörenden Sudetenlandes an Deutschland erkennen .	Location-derived	tschechischen	tschechischen	0	0	0	0	0	0	0	1		[TBD]
Test	51	21	21	0	Nach Ansicht von Kritikern lässt sich in diesen Forderungen die Befürwortung einer erneuten Angliederung des heute zum tschechischen Staat gehörenden Sudetenlandes an Deutschland erkennen .	Location	Sudetenlandes	Sudetenland	0	0	0	0	1	0	0	0		
Test	51	23	23	0	Nach Ansicht von Kritikern lässt sich in diesen Forderungen die Befürwortung einer erneuten Angliederung des heute zum tschechischen Staat gehörenden Sudetenlandes an Deutschland erkennen .	Location	Deutschland	Deutschland	0	0	0	0	0	0	0	0		L
Test	53	2	2	0	Für Hauser kann ins Feld geführt werden , dass er bei seinen Grabungen bereits Einmessungen durch einen Geodäten durchführen ließ .	Person	Hauser	Hauser	0	0	0	0	0	0	0	0		
Test	56	6	6	0	Fast durchgehend finden die in Klingenberg traditionellen Häckerwirtschaften statt , wobei sich mehrere Winzer in regelmäßigen Abständen abwechseln .	Location	Klingenberg	Klingenberg	0	0	0	0	0	0	0	1		[TBD]
Test	57	7	7	0	Am Samstagnachmittag findet noch die Begegnung Budel gegen Philippsburg statt .	Location	Budel	Budel	0	0	0	0	0	0	0	1		[TBD]
Test	57	9	9	0	Am Samstagnachmittag findet noch die Begegnung Budel gegen Philippsburg statt .	Location	Philippsburg	Philippsburg	0	0	0	0	0	0	0	1		[TBD]
Test	58	6	7	0	Das Album wurde 2000 über Relapse Records wiederveröffentlicht und zum ersten Mal einem breiten Publikum vorgestellt .	Organisation	Relapse Records	Relapse Records	0	0	0	0	0	0	0	0		
Test	59	4	4	0	Im Nordosten ist Geichlingen und im Osten Hüttingen bei Lahr jeweils etwa 3km entfernt .	Location	Geichlingen	Geichlingen	0	0	0	0	0	0	0	0		
Test	59	8	8	0	Im Nordosten ist Geichlingen und im Osten Hüttingen bei Lahr jeweils etwa 3km entfernt .	Location	Hüttingen	Hüttingen	0	0	0	0	0	0	0	0		L
Test	59	10	10	0	Im Nordosten ist Geichlingen und im Osten Hüttingen bei Lahr jeweils etwa 3km entfernt .	Location	Lahr	Lahr	0	0	0	0	0	0	0	0		L
Test	60	22	25	0	Schon beim Wort “ Ode “ glauben Nachgeborene bestenfalls , es handele sich um irgendwas zwischen Mode und dem bedauernswerten Ort Frankfurt an der Oder .	Location	Frankfurt an der Oder	Frankfurt an der Oder	0	0	0	0	0	0	0	0		
Test	60	25	25	1	Schon beim Wort “ Ode “ glauben Nachgeborene bestenfalls , es handele sich um irgendwas zwischen Mode und dem bedauernswerten Ort Frankfurt an der Oder .	Location	Oder	Oder	0	0	0	0	0	0	0	0		L
Test	62	7	7	0	Der 25jährige wird am Sonnabend in Braunschweig im Rahmen der Supermittelgewichts-WM Mario Veit ( Universum ) - Joe Calzaghe ( Wales ) den zweiten Hauptkampf bestreiten .	Location	Braunschweig	Braunschweig	0	0	0	0	0	0	0	0		L
Test	62	12	13	0	Der 25jährige wird am Sonnabend in Braunschweig im Rahmen der Supermittelgewichts-WM Mario Veit ( Universum ) - Joe Calzaghe ( Wales ) den zweiten Hauptkampf bestreiten .	Person	Mario Veit	Mario Veit	0	0	0	0	0	0	0	1		[TBD]
Test	62	15	15	0	Der 25jährige wird am Sonnabend in Braunschweig im Rahmen der Supermittelgewichts-WM Mario Veit ( Universum ) - Joe Calzaghe ( Wales ) den zweiten Hauptkampf bestreiten .	Organisation	Universum	Universum	0	0	0	0	0	0	0	0		L
Test	62	18	19	0	Der 25jährige wird am Sonnabend in Braunschweig im Rahmen der Supermittelgewichts-WM Mario Veit ( Universum ) - Joe Calzaghe ( Wales ) den zweiten Hauptkampf bestreiten .	Person	Joe Calzaghe	Joe Calzaghe	0	0	0	0	0	0	0	0		L
Test	62	21	21	0	Der 25jährige wird am Sonnabend in Braunschweig im Rahmen der Supermittelgewichts-WM Mario Veit ( Universum ) - Joe Calzaghe ( Wales ) den zweiten Hauptkampf bestreiten .	Location	Wales	Wales	0	0	0	0	0	0	0	0		L
Test	64	1	1	0	Booles System verwendet Großbuchstaben für Begriffe , das Zeichen 0 ( Null ) für den leeren Begriff , unter den nichts fällt , und das Zeichen 1 ( Eins ) für den universellen Begriff , unter den alles fällt .	Person	Booles	Boole	0	0	0	0	1	0	0	0		
Test	66	5	5	0	“ Jetzt sollte die FDP zu ihrem Wort stehen “ , sagte Dobrindt der “ Welt am Sonntag “ .	Organisation	FDP	FDP	0	0	0	0	0	0	0	1		[TBD]
Test	66	13	13	0	“ Jetzt sollte die FDP zu ihrem Wort stehen “ , sagte Dobrindt der “ Welt am Sonntag “ .	Person	Dobrindt	Dobrindt	0	0	0	0	0	0	0	1		[TBD]
Test	66	16	18	0	“ Jetzt sollte die FDP zu ihrem Wort stehen “ , sagte Dobrindt der “ Welt am Sonntag “ .	Organisation	Welt am Sonntag	Welt am Sonntag	0	0	0	0	0	0	0	1		[TBD]
Test	67	4	4	0	Das Ostersonntagsprogramm verhalf RTL zum Tagessieg .	Organisation	RTL	RTL	0	0	0	0	0	0	0	0		L
Test	69	3	3	0	Dann erklärt Haas , was sich alles in den Schränken des Rettungswagens befindet und was man damit machen kann .	Person	Haas	Haas	0	0	0	0	0	0	0	1		[TBD]
Test	70	13	13	1	Die Journalisten und Anhänger des Klubs gliederten den Vereinsnamen jedoch in “ Wiener Association Footballclub “ , woraus die später üblich gewordene Bezeichnung WAF hervorging .	Location-derived	Wiener	Wiener	0	0	0	0	0	0	0	1		[TBD]
Test	70	13	15	0	Die Journalisten und Anhänger des Klubs gliederten den Vereinsnamen jedoch in “ Wiener Association Footballclub “ , woraus die später üblich gewordene Bezeichnung WAF hervorging .	Organisation	Wiener Association Footballclub	Wiener Association Footballclub	0	0	0	0	0	0	0	0		
Test	70	24	24	0	Die Journalisten und Anhänger des Klubs gliederten den Vereinsnamen jedoch in “ Wiener Association Footballclub “ , woraus die später üblich gewordene Bezeichnung WAF hervorging .	Organisation	WAF	WAF	0	0	0	0	0	0	0	0		
Test	72	9	9	0	Der größte Fund war die sogenannte Goldmaske des Agamemnon aus Mykene , die nach heutigen Erkenntnissen allerdings nicht Agamemnon zugesprochen werden kann , da sie aus einer um etwa 300 Jahre früheren Ära stammt .	Person	Agamemnon	Agamemnon	0	0	0	0	0	0	0	0		L
Test	72	11	11	0	Der größte Fund war die sogenannte Goldmaske des Agamemnon aus Mykene , die nach heutigen Erkenntnissen allerdings nicht Agamemnon zugesprochen werden kann , da sie aus einer um etwa 300 Jahre früheren Ära stammt .	Location	Mykene	Mykene	0	0	0	0	0	0	0	0		
Test	72	19	19	0	Der größte Fund war die sogenannte Goldmaske des Agamemnon aus Mykene , die nach heutigen Erkenntnissen allerdings nicht Agamemnon zugesprochen werden kann , da sie aus einer um etwa 300 Jahre früheren Ära stammt .	Person	Agamemnon	Agamemnon	0	0	0	0	0	0	0	0		L
Test	76	1	1	0	Karlsruhe - Das Bundesverfassungsgericht wird sein Urteil zur vorgezogenen Bundestagswahl in der Woche ab dem 22. August verkünden .	Location	Karlsruhe	Karlsruhe	0	0	0	0	0	0	0	0		L
Test	78	11	11	0	Das Ziel sei bescheiden , aber realistisch , schreibt die Mailänder Tageszeitung “ Corriere della Sera “ .	Location-derived	Mailänder	Mailand	0	1	1	1	0	0	0	0		4b
Test	78	14	16	0	Das Ziel sei bescheiden , aber realistisch , schreibt die Mailänder Tageszeitung “ Corriere della Sera “ .	Organisation	Corriere della Sera	Corriere della Sera	0	0	0	0	0	0	0	1		[TBD]
Test	81	16	16	0	Der Motor war wieder im Heck angeordnet , obwohl dieses Konzept bereits beim Erscheinen des T3 als überholt galt , weil so immer noch keine durchgehende Ladefläche zur Verfügung gestellt werden konnte .	Other	T3	T3	0	0	0	0	0	0	0	0		
Test	82	3	4	0	Erst als Brad Buetow , dem er schon die letzten beiden Jahre am College assistiert hatte , den Cheftrainerposten bei den Quad City Mallards aus der Colonial Hockey League übernahm , holte ihn dieser erneut als seinen Assistenten zu sich .	Person	Brad Buetow	Brad Buetow	0	0	0	0	0	0	0	1		[TBD]
Test	82	22	24	0	Erst als Brad Buetow , dem er schon die letzten beiden Jahre am College assistiert hatte , den Cheftrainerposten bei den Quad City Mallards aus der Colonial Hockey League übernahm , holte ihn dieser erneut als seinen Assistenten zu sich .	Organisation	Quad City Mallards	Quad City Mallards	0	0	0	0	0	0	0	0		
Test	82	27	29	0	Erst als Brad Buetow , dem er schon die letzten beiden Jahre am College assistiert hatte , den Cheftrainerposten bei den Quad City Mallards aus der Colonial Hockey League übernahm , holte ihn dieser erneut als seinen Assistenten zu sich .	Organisation	Colonial Hockey League	Colonial Hockey League	0	0	0	0	0	0	0	1		[TBD]
Test	86	8	8	0	Wir haben einen ökumenischen Jugendgottesdienst mit dem Osnabrücker Bischof Franz-Josef Bode und mir .	Location-derived	Osnabrücker	Osnabrücker	0	0	0	0	0	0	0	1		[TBD]
Test	86	10	11	0	Wir haben einen ökumenischen Jugendgottesdienst mit dem Osnabrücker Bischof Franz-Josef Bode und mir .	Person	Franz-Josef Bode	Franz-Josef Bode	0	0	0	0	0	0	0	1		[TBD]
Test	88	11	12	0	Dieses Zitat stammt aus der ersten Strophe eines Gedichts von August Schnelzer : : „ '' Gold und Silber preis ich sehr , Könnt es auch wohl brauchen ; Hätt ich nur ein ganzes Meer , Mich hineinzutauchen ! '	Person	August Schnelzer	August Schnelzer	0	0	0	0	0	0	0	1		[TBD]
